TIME_STAMP,Score,YEAR,SCHOOL_SYSTEM,HS_FRIENDS,CSE_INCLUSION,H_SATIF,CSE_SATIF,NOTES
31/05/2024 11:09:59,,2nd year,Government selective,TRUE,7,9,5,
31/05/2024 22:28:00,,1st year,Government non-selective,FALSE,5,1,5,I’m trans :(
01/06/2024 19:08:28,,1st year,Independent/Private,TRUE,5,10,6,"Peer mentoring was such a great experience. But other than that, I don’t think CSE has many meaningful offerings for people outside the subcom. Also its lowkey a nsg/nsb society. "
02/06/2024 00:51:13,,2nd year,Government selective,TRUE,9,10,4,"Surface level friendships in UNSW CSE, only talking when its about our degree/subjects, no outside of uni conversations/meet ups (rare, exceptions of like  1-2 people) "
02/06/2024 10:54:45,,2nd year,Government selective,FALSE,7,5,6,
02/06/2024 11:45:21,,3rd year,Independent/Private,FALSE,8,4,8,I was able to build connections cause firstly I took a chance and put myself out there by apply to be part of subcom and then getting a chance to join a society. This was really the main way I was able to make great connections. Also I think if you like someone and would like to get to know them better in class asking for their socials is a good starting point to potentially also becoming friends. So society was definitely the way I was able to build such great connections.
02/06/2024 16:35:14,,1st year,Government selective,TRUE,3,6,2,
02/06/2024 18:30:23,,2nd year,Independent/Private,FALSE,2,5,1,
03/06/2024 14:59:54,,1st year,Government selective,FALSE,5,10,7,"I was an interstate student so I'm still building friendships, It's not exactly where I would like but its getting there which is good"
03/06/2024 20:58:05,,3rd year,Independent/Private,FALSE,8,8,8,putting in the effort to maintain relationships
03/06/2024 21:02:00,,2nd year,Government non-selective,TRUE,1,9,9,
03/06/2024 21:02:50,,2nd year,Government selective,FALSE,10,6,10,It was random but late night talks and just spending time together ya feel
03/06/2024 21:04:50,,2nd year,Government non-selective,TRUE,3,7,3,
03/06/2024 21:07:33,,3rd year,Government selective,FALSE,8,6,9,"Hardly talk to high school friends anymore, met my closest uni friends through casual bonding in uni societies "
03/06/2024 21:16:09,,1st year,Government selective,TRUE,8,10,9,
03/06/2024 21:16:36,,1st year,Government selective,TRUE,5,6,5,
03/06/2024 21:18:13,,2nd year,Government non-selective,FALSE,1,5,10,
03/06/2024 21:18:47,,1st year,Government selective,TRUE,10,8,9,"I am mostly satisfied with my friendships currently!! As a first year, I was very fortunate to have friends and peers from my selective high school that also ended up doing computer science and being in subcom with those friends also helped me be more confident in making other friends in cse because I wasn’t completely alone. I think in uni, joining subcoms and opportunities allowing for constant meetup with the same people is really important especially since it’s so hard to see familiar faces when changing classes so often - but of course some subcoms do come with some nepotism (e.g. if you came from the same school might be a bit biased, etc) but yeah these are my few cents on this topic :) hope this helps!!"
03/06/2024 21:20:02,,1st year,Government selective,TRUE,6,8,5,
03/06/2024 21:24:52,,1st year,Government selective,TRUE,8,8,10,"I think just attending a lot of the events and having a good friend group and network of people that came with me from high school- as well as camp, was what really influenced most of my really genuine university friendships."
03/06/2024 21:27:03,,1st year,Government selective,TRUE,8,7,8,
03/06/2024 21:32:06,,2nd year,Government non-selective,FALSE,7,3,6,"High school forces you to meet the same people frequently but after HS, if you don’t make the effort to see them, you eventually drift. In university, joining societies allows you to get that same force to see the same people due to meetings and bondings, etc. Most of my current friends are from my society. They might not be my best friends but they’re the people I meet and study with when I go to university."
03/06/2024 21:47:52,,1st year,Catholic,TRUE,4,4,4,
03/06/2024 21:50:26,,1st year,Government selective,TRUE,9,9,8,
03/06/2024 21:51:24,,2nd year,Government selective,FALSE,9,7,7,Hard to make close friends as opposed to just friends from class term to term.
03/06/2024 21:51:58,,2nd year,Government non-selective,TRUE,7,10,7,I think I’m a bit out of the loop because I didn’t go to a selective school however I feel mostly satisfied.
03/06/2024 21:52:06,,2nd year,Government non-selective,FALSE,5,7,8,
03/06/2024 21:54:33,,2nd year,Government selective,TRUE,8,10,9,
03/06/2024 21:54:38,,1st year,Government selective,TRUE,6,9,6,I feel like I’m relying too much on my high school friends in CSE as opposed to making more genuine friendships with new people 
03/06/2024 21:54:51,,1st year,Government non-selective,TRUE,1,10,1,Selective school 
03/06/2024 21:55:25,,2nd year,Government non-selective,TRUE,5,8,6,
03/06/2024 21:58:00,,1st year,Independent/Private,FALSE,9,6,3,i’m not someone who is too into drinking and i feel most social events i get to are surrounded by alcohol. eating out also scares me due to dietaries so going out for dinner is also hard so i don’t rlly make any uni friends 
03/06/2024 21:58:04,,1st year,Government selective,TRUE,10,9,9,
03/06/2024 22:05:29,,2nd year,International,FALSE,7,8,8,"The main thing i did to build great connections was to make the first move, asking people to hangout after class or after events. I found that everyone was willing to make friends, they were just scared to be the first one to step up, therefore, I tried my best to put myself out there and I am happy as to where I am now."
03/06/2024 22:06:32,,1st year,Government non-selective,TRUE,6,8,6,Not being willing to put in the hours to travel more & not being used to making the first move
03/06/2024 22:16:31,,1st year,Government selective,TRUE,9,7,8,"I definitely branched out more, most people are super friendly so it was really a lot of fun to meet everyone :)"
03/06/2024 22:20:13,,2nd year,Catholic,TRUE,3,10,2,"Just not enouugh chances to meet people, no one is encouraged to get to know anyone in classes, the only way is society things and even then people in cse only want referals or internships, not to actually be friends with people"
03/06/2024 22:32:35,,2nd year,International,FALSE,8,7,8,"I tried putting myself out there by being present and attending social events, which allowed me to build stronger friendships! "
03/06/2024 22:36:45,,1st year,Government non-selective,TRUE,4,10,2,Only in first year but haven’t made any connections at uni that I didn’t already know from outside of it. I have spoken to people but have trouble maintaining meaningful relationships with people I meet through uni. I feel like it is hard to make friends at uni without joining sub-committees 
03/06/2024 23:09:34,,2nd year,Government selective,TRUE,8,10,10,got into this situation by involving myself into society events + being open to making new friends :)
03/06/2024 23:11:03,,1st year,Government non-selective,TRUE,7,8,7,"Joking the soc definitely helped with friends. If I didn’t join, my previous answer would’ve been a solid 2."
03/06/2024 23:20:13,,1st year,Government selective,TRUE,5,6,6,Joining socities has really helped to improve my social situation and helped me make more friends and connections in uni.
04/06/2024 00:00:17,,1st year,Government selective,TRUE,7,8,5,
04/06/2024 00:17:15,,1st year,Independent/Private,FALSE,8,7,8,
04/06/2024 00:18:21,,1st year,Catholic,TRUE,6,8,7,
04/06/2024 00:31:41,,2nd year,Government selective,FALSE,4,8,4,"My current social situation consists of a few social circles in university. Though I'm rather content with these social circles, the nature of university makes it a bit difficult to have the same level of depth in my relationships as high school. With particular reference to UNSW CSE society, I believe there’s an invisible barrier with the preformed friendship groups - whether from high schools or connections formed in first year,  that causes difficulties for others to enter. I feel a lot of it is attributed to people having existing relationships which they would prefer to prioritise over investing in new ones."
04/06/2024 00:40:51,,1st year,Government selective,TRUE,7,6,8,
04/06/2024 00:46:43,,1st year,Government selective,TRUE,8,9,9,
04/06/2024 00:46:52,,2nd year,Government non-selective,TRUE,4,4,6,
04/06/2024 00:47:38,,1st year,Government selective,TRUE,5,10,3,people segregate themselves into groups too much 
04/06/2024 00:53:06,,2nd year,Government selective,TRUE,6,2,8,tried to meet people i didnt know as much as possible
04/06/2024 01:04:04,,1st year,Government selective,FALSE,7,5,8,"Friends, meeting friends of friends, occasionally cool people with mutuals at events "
04/06/2024 01:32:51,,2nd year,Government selective,TRUE,7,10,9,knowing many people from selective schools. 'selective school bubble''
04/06/2024 01:42:33,,3rd year,Catholic,FALSE,4,7,8,"I am satisfied - I joined arc volunteering programs and subcommittees to initially make friends in second year, I then continued these friendships through attending society events and study sessions with them to continue building the friendships "
04/06/2024 01:51:37,,2nd year,Government selective,TRUE,8,9,8,High school friends all went to unsw T_T.
04/06/2024 01:51:44,,2nd year,Government selective,TRUE,8,9,9,I got into this situation by going to social events and meeting mutual friends from highschool. Leaving your house and going to large organised events is what I did to build connections at university.
04/06/2024 01:53:29,,4th year,Government non-selective,FALSE,8,8,8,Im dissastisfied bc i havent got to meet Hae from media yet :((...joining socities helped build good connections with peeps
04/06/2024 01:53:45,,2nd year,Catholic,FALSE,3,8,5,
04/06/2024 02:39:00,,2nd year,Government selective,FALSE,2,2,6,"Wagwan my drilla. Since I have basically no social presence in UNSW CSE, I will be discussing my social situation at UNSW in general.  My semi-dissatisfaction with my social situation is most likely due to my own issues rather than being caused by my social environment at UNSW / UNSW CSE / UNSW CSESoc. It is not relevant to this topic.  My semi-satisfaction mostly comes from my involvement in MSoc subcom. I am happy with the experiences I have due to this role, which are mainly internal bonding events like roadtrips and port and cross port activities. Attending and meeting people at external society events also played a huge role in my current position and satisfaction.  The main factor that led here was my previous awareness of UNSW society culture. My family friend convinced me to go BITSA first year camp when uni started, which is why I first started getting involved in their external events. I also had friends I knew through highschool volleyball, family friends and uni friends in some societies, which made me a lot more comfortable going to their external society events. Through these I could meet and become known by people who were involved in societies. My MSoc director also happened to be my FYC camp leader, and I had also already met two of the people in my port at FYC a year prior, as well as during several external BITSA events. It wasn't really a surprise since many MSoc people are ex-BITSA. Having old friends who are involved in societies played a major role in my social satisfaction."
04/06/2024 08:07:52,,1st year,Government selective,TRUE,7,5,6,Theres not enough girls in cse 😭 and i only meet ppl in classes
04/06/2024 09:40:53,,2nd year,Independent/Private,FALSE,5,9,7,"within cse i feel like i just haven’t met people who are my crowd, which isn’t the fault of anybody, we just happen to not mesh. A few of my friends within cse are from csesoc - my subcom/fyc/friends of friends but my closest friends tend to be in other degrees, met through other means."
04/06/2024 09:51:14,,1st year,Government selective,FALSE,8,6,8,I feel like i got pretty lucky meeting my current friends but i would also like to branch out more and meet new people but theres not many opportunities to do that
04/06/2024 10:39:48,,1st year,Independent/Private,TRUE,5,8,3,A lot of my school friends go to Sydney uni and it’s hard to meet new people at university.
04/06/2024 10:51:19,,1st year,Government selective,FALSE,8,8,7,join subcom
04/06/2024 13:00:46,,1st year,Government selective,TRUE,6,7,8,
